appMasterHost,appId,runtime
normal_cluster,application_1758535431786_10392,0 days 00:02:43.680000
normal_cluster,application_1758535431786_10398,0 days 00:00:22.318000
normal_cluster,application_1758535431786_10389,0 days 00:03:15.364000
normal_cluster,application_1758535431786_10325,0 days 00:17:49.790000
normal_cluster,application_1758535431786_10056,0 days 01:01:29.810000
normal_cluster,application_1758535431786_10399,0 days 00:00:22.999000
normal_cluster,application_1758535431786_10401,0 days 00:00:22.969000
normal_cluster,application_1758535431786_10318,0 days 00:20:04.610000
normal_cluster,application_1758535431786_10404,0 days 00:00:41.458000
normal_cluster,application_1758535431786_10406,0 days 00:00:31.327000
normal_cluster,application_1758535431786_10400,0 days 00:03:23.273000
normal_cluster,application_1758535431786_10407,0 days 00:00:32.183000
normal_cluster,application_1758535431786_10362,0 days 00:17:22.464000
normal_cluster,application_1758535431786_10409,0 days 00:01:30.132000
normal_cluster,application_1758535431786_10314,0 days 00:25:06.725000
normal_cluster,application_1758535431786_10363,0 days 00:18:38.039000
normal_cluster,application_1758535431786_10324,0 days 00:25:33.868000
normal_cluster,application_1758535431786_10415,0 days 00:00:12.202000
normal_cluster,application_1758535431786_10414,0 days 00:00:13.656000
normal_cluster,application_1758535431786_10351,0 days 00:23:04.410000
normal_cluster,application_1758535431786_10421,0 days 00:00:14.788000
normal_cluster,application_1758535431786_10423,0 days 00:00:29.624000
normal_cluster,application_1758535431786_10425,0 days 00:00:29.150000
normal_cluster,application_1758535431786_10394,0 days 00:12:32.969000
normal_cluster,application_1758535431786_10416,0 days 00:01:40.539000
normal_cluster,application_1758535431786_10426,0 days 00:00:42.078000
normal_cluster,application_1758535431786_10413,0 days 00:02:13.689000
normal_cluster,application_1758535431786_10419,0 days 00:01:57.177000
normal_cluster,application_1758535431786_10428,0 days 00:00:37.519000
normal_cluster,application_1758535431786_10430,0 days 00:00:26.995000
normal_cluster,application_1758535431786_10197,0 days 00:43:35.802000
normal_cluster,application_1758535431786_10429,0 days 00:00:46.832000
normal_cluster,application_1758535431786_10418,0 days 00:03:01.763000
normal_cluster,application_1758535431786_6503,0 days 12:00:20.970000
normal_cluster,application_1758535431786_10422,0 days 00:03:47.516000
normal_cluster,application_1758535431786_10408,0 days 00:08:28.273000
normal_cluster,application_1758535431786_10437,0 days 00:00:21.196000
normal_cluster,application_1758535431786_10420,0 days 00:04:12.462000
normal_cluster,application_1758535431786_10439,0 days 00:00:20.141000
normal_cluster,application_1758535431786_10431,0 days 00:01:20.920000
normal_cluster,application_1758535431786_10444,0 days 00:00:31.395000
normal_cluster,application_1758535431786_10434,0 days 00:01:03.311000
